SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
P35869,AHR,Aryl hydrocarbon receptor,19.7075,19.725,0.0175,0.887499777
Q9NVV5,AIG1,Androgen-induced gene 1 protein,16.995,17.0275,0.0325,0.886927378
Q8N386,LRRC25,Leucine-rich repeat-containing protein 25,19.56,19.5475,-0.0125,0.885518564
P55040,GEM,GTP-binding protein GEM,18.3175,18.2925,-0.025,0.885481526
Q9P246,STIM2,Stromal interaction molecule 2,17.7725,17.7825,0.01,0.88169825
P07948,LYN,Tyrosine-protein kinase Lyn,25.005,24.99,-0.015,0.878785562
P02794,FTH1,Ferritin heavy chain,24.065,24.04,-0.025,0.877171925
O14867,BACH1,Transcription regulator protein BACH1,20.535,20.55,0.015,0.875481496
Q6P4I2,WDR73,WD repeat-containing protein 73,17.38,17.39,0.01,0.869254616
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1,23.235,23.225,-0.01,0.869254616
Q30154,HLA-DRB5,"HLA class II histocompatibility antigen, DR beta 5 chain",18.5825,18.5375,-0.045,0.868908586
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,20.2675,20.3075,0.04,0.863462907
P16671,CD36,Platelet glycoprotein 4,23.375,23.3925,0.0175,0.862937192
O94829,IPO13,Importin-13,17.1525,17.125,-0.0275,0.860198762
P02774,GC,Vitamin D-binding protein,18.5275,18.5575,0.03,0.86001073
O75376,NCOR1,Nuclear receptor corepressor 1,23.0075,23.025,0.0175,0.857582369
P08174,CD55,Complement decay-accelerating factor,20.98,20.9525,-0.0275,0.854710091
A2RUS2,DENND3,DENN domain-containing protein 3,20.4125,20.405,-0.0075,0.853414388
P18206,VCL,Vinculin,26.23,26.2075,-0.0225,0.849001269
Q9H8H3,METTL7A,Methyltransferase-like protein 7A,21.7775,21.79,0.0125,0.847398831
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",20.955,20.9375,-0.0175,0.846888092
Q6V1X1,DPP8,Dipeptidyl peptidase 8,18.61,18.59,-0.02,0.845976303
Q15645,TRIP13,Pachytene checkpoint protein 2 homolog,18.245,18.2275,-0.0175,0.844293205
Q8TE77,SSH3,Protein phosphatase Slingshot homolog 3,16.6225,16.6075,-0.015,0.841533935
P23141,CES1,Liver carboxylesterase 1,25.2475,25.26,0.0125,0.840264283
Q96A57,TMEM230,Transmembrane protein 230,20.9775,20.94,-0.0375,0.840264283
Q9BXY0,MAK16,Protein MAK16 homolog,18.5875,18.6375,0.05,0.836137532
Q8NCN4,RNF169,E3 ubiquitin-protein ligase RNF169,18.8025,18.7925,-0.01,0.835399813
Q9Y4G2,PLEKHM1,Pleckstrin homology domain-containing family M member 1,18.81,18.79,-0.02,0.833118239
O43491,EPB41L2,Band 4.1-like protein 2,20.1475,20.1175,-0.03,0.831604803
P15408,FOSL2,Fos-related antigen 2,19.48,19.495,0.015,0.830697527
P09326,CD48,CD48 antigen,21.6325,21.6175,-0.015,0.829351281
Q684P5,RAP1GAP2,Rap1 GTPase-activating protein 2,20.14,20.125,-0.015,0.826916026
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2,17.915,17.8825,-0.0325,0.820475442
Q7LBC6,KDM3B,Lysine-specific demethylase 3B,19.8975,19.86,-0.0375,0.81978939
P50749,RASSF2,Ras association domain-containing protein 2,21.8225,21.8125,-0.01,0.811936129
Q8NB16,MLKL,Mixed lineage kinase domain-like protein,21.68,21.6675,-0.0125,0.808781492
P02790,HPX,Hemopexin,20.32,20.2475,-0.0725,0.807496934
Q5H9U9,DDX60L,Probable ATP-dependent RNA helicase DDX60-like,20.465,20.45,-0.015,0.806339618
P02787,TF,Serotransferrin,19.005,19.04,0.035,0.806176876
Q6ZNC8,MBOAT1,Lysophospholipid acyltransferase 1,17.055,17.02,-0.035,0.803175541
P55327,TPD52,Tumor protein D52,18.73,18.72,-0.01,0.801964693
Q13418,ILK,Integrin-linked protein kinase,23.225,23.195,-0.03,0.800620463
P13645,KRT10,"Keratin, type I cytoskeletal 10",23.6075,23.5125,-0.095,0.800278027
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,18.7625,18.79,0.0275,0.800260363
P30520,ADSS,Adenylosuccinate synthetase isozyme 2,23.7725,23.785,0.0125,0.79912639
O94919,ENDOD1,Endonuclease domain-containing 1 protein,17.7925,17.8525,0.06,0.792398193
Q15283,RASA2,Ras GTPase-activating protein 2,20.445,20.455,0.01,0.791627448
O95696,BRD1,Bromodomain-containing protein 1,18.2825,18.2575,-0.025,0.790841784
Q8N3K9,CMYA5,Cardiomyopathy-associated protein 5,18.3425,18.305,-0.0375,0.788779982
Q96BX8,MOB3A,MOB kinase activator 3A,21.15,21.165,0.015,0.786815522
Q96NB3,ZNF830,Zinc finger protein 830,19.6175,19.5775,-0.04,0.78647233
Q96T83,SLC9A7,Sodium/hydrogen exchanger 7,16.65,16.58,-0.07,0.786428276
Q96JQ2,CLMN,Calmin,18.985,19.0125,0.0275,0.786236993
Q9BWH6,RPAP1,RNA polymerase II-associated protein 1,17.0025,16.9725,-0.03,0.785980667
Q9HBL8,NMRAL1,NmrA-like family domain-containing protein 1,18.2475,18.225,-0.0225,0.785249137
Q8N370,SLC43A2,Large neutral amino acids transporter small subunit 4,19.7525,19.7775,0.025,0.783970865
Q9HBI1,PARVB,Beta-parvin,20.515,20.575,0.06,0.78143084
Q9Y5X1,SNX9,Sorting nexin-9,21.6575,21.6725,0.015,0.781296547
Q8N1I0,DOCK4,Dedicator of cytokinesis protein 4,22.06,22.075,0.015,0.776864041
Q9NU22,MDN1,Midasin,21.0725,21.1275,0.055,0.776213106
Q6PJW8,CNST,Consortin,18.2775,18.29,0.0125,0.767298391
Q5TC84,OGFRL1,Opioid growth factor receptor-like protein 1,19.9075,19.9175,0.01,0.766908836
Q13033,STRN3,Striatin-3,19.64,19.625,-0.015,0.76358462
O43292,GPAA1,Glycosylphosphatidylinositol anchor attachment 1 protein,18.4325,18.395,-0.0375,0.757917993
Q8IY18,SMC5,Structural maintenance of chromosomes protein 5,19.515,19.49,-0.025,0.755229557
P23458,JAK1,Tyrosine-protein kinase JAK1,20.49,20.475,-0.015,0.752947016
Q12912,LRMP,Lymphoid-restricted membrane protein,18.9875,18.965,-0.0225,0.752486494
Q6S8J3,POTEE,POTE ankyrin domain family member E,21.11,21.0825,-0.0275,0.749778715
Q5VWQ0,RSBN1,Round spermatid basic protein 1,18.3,18.365,0.065,0.747677875
Q99536,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,22.9325,22.9125,-0.02,0.745167787
Q01658,DR1,Protein Dr1,21.1075,21.15,0.0425,0.744873732
Q7Z6P3,RAB44,Ras-related protein Rab-44,21.3325,21.305,-0.0275,0.744506278
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit,21.4575,21.4825,0.025,0.742340374
Q9BUB7,TMEM70,"Transmembrane protein 70, mitochondrial",19.01,18.9875,-0.0225,0.741655217
O95819,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,19.3375,19.295,-0.0425,0.741549767
Q96MW1,CCDC43,Coiled-coil domain-containing protein 43,20.1,20.075,-0.025,0.739334865
P0CG05,IGLC2,Ig lambda-2 chain C regions,18.1975,18.115,-0.0825,0.739167809
Q03013,GSTM4,Glutathione S-transferase Mu 4,19.655,19.6025,-0.0525,0.73752906
Q2M385,MPEG1,Macrophage-expressed gene 1 protein,19.8675,19.905,0.0375,0.733928486
P68871,HBB,Hemoglobin subunit beta,26.2825,26.09,-0.1925,0.732854026
Q9BVL4,SELO,Selenoprotein O,18.0275,17.98,-0.0475,0.729641478
O95183,VAMP5,Vesicle-associated membrane protein 5,17.3975,17.3575,-0.04,0.729286859
P55081,MFAP1,Microfibrillar-associated protein 1,20.98,21.0525,0.0725,0.727330844
P02768,ALB,Serum albumin,27.12,27.195,0.075,0.725716238
Q99685,MGLL,Monoglyceride lipase,19.56,19.6325,0.0725,0.724308372
P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",22.8525,22.7375,-0.115,0.723679217
O00214,LGALS8,Galectin-8,20.525,20.5,-0.025,0.723599498
Q9BWF3,RBM4,RNA-binding protein 4,20.8275,20.8525,0.025,0.723599498
Q96SB8,SMC6,Structural maintenance of chromosomes protein 6,20.8175,20.7925,-0.025,0.723599498
P02675,FGB,Fibrinogen beta chain,23.6875,23.52,-0.1675,0.723439355
Q8N5A5,ZGPAT,Zinc finger CCCH-type with G patch domain-containing protein,18.97,18.9325,-0.0375,0.723193496
Q8IYB1,MB21D2,Protein MB21D2,17.725,17.7375,0.0125,0.722023561
P02771,AFP,Alpha-fetoprotein,19.3275,19.3825,0.055,0.721725337
P13671,C6,Complement component C6,21.15,21.23,0.08,0.717956247
Q9ULI0,ATAD2B,ATPase family AAA domain-containing protein 2B,21.61,21.535,-0.075,0.713975521
P04114,APOB,Apolipoprotein B-100,17.575,17.6725,0.0975,0.711931719
O95163,IKBKAP,Elongator complex protein 1,19.3475,19.39,0.0425,0.711742002
P03915,MT-ND5,NADH-ubiquinone oxidoreductase chain 5,18.5,18.5175,0.0175,0.704336632
P10643,C7,Complement component C7,20.5575,20.6175,0.06,0.702809399
Q9Y4F3,KIAA0430,Meiosis arrest female protein 1,19.32,19.28,-0.04,0.702696944
P11678,EPX,Eosinophil peroxidase,23.045,23.0925,0.0475,0.699086504
Q9UHC7,MKRN1,E3 ubiquitin-protein ligase makorin-1,17.0425,16.9725,-0.07,0.697522291
P55809,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",21.4125,21.3875,-0.025,0.69599604
P01031,C5,Complement C5,22.865,22.95,0.085,0.690681161
O95140,MFN2,Mitofusin-2,21.48,21.4525,-0.0275,0.690314739
P02679,FGG,Fibrinogen gamma chain,24.57,24.3725,-0.1975,0.688850115
P10124,SRGN,Serglycin,16.96,16.91,-0.05,0.687512334
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,24.85,24.815,-0.035,0.683053489
Q13574,DGKZ,Diacylglycerol kinase zeta,19.19,19.4,0.21,0.682148311
Q8N108,MIER1,Mesoderm induction early response protein 1,19.3575,19.3425,-0.015,0.680667839
P06241,FYN,Tyrosine-protein kinase Fyn,19.22,19.27,0.05,0.678891
O15118,NPC1,Niemann-Pick C1 protein,21.9925,22.0225,0.03,0.673758436
O14975,SLC27A2,Very long-chain acyl-CoA synthetase,18.3075,18.2925,-0.015,0.673758436
P02751,FN1,Fibronectin,20.7975,20.9275,0.13,0.673712689
Q16549,PCSK7,Proprotein convertase subtilisin/kexin type 7,16.6575,16.63,-0.0275,0.6681737
Q504Q3,PAN2,PAB-dependent poly(A)-specific ribonuclease subunit PAN2,17.1125,17.065,-0.0475,0.664519442
Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",18.055,18.025,-0.03,0.664456745
O00151,PDLIM1,PDZ and LIM domain protein 1,17.7125,17.82,0.1075,0.664401806
P01130,LDLR,Low-density lipoprotein receptor,18.8175,18.8625,0.045,0.663228194
Q9BQE4,VIMP,Selenoprotein S,17.6925,17.7175,0.025,0.661918449
Q15125,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",18.8175,18.8375,0.02,0.6577951
P01033,TIMP1,Metalloproteinase inhibitor 1,19.105,19.075,-0.03,0.654312136
Q86SX6,GLRX5,"Glutaredoxin-related protein 5, mitochondrial",19.83,19.8975,0.0675,0.653136149
Q9BX69,CARD6,Caspase recruitment domain-containing protein 6,19.135,19.105,-0.03,0.652170669
Q53H12,AGK,"Acylglycerol kinase, mitochondrial",21.5075,21.495,-0.0125,0.650924823
P17010,ZFX,Zinc finger X-chromosomal protein,18.06,18.025,-0.035,0.648481143
Q9NV96,TMEM30A,Cell cycle control protein 50A,20.86,20.7975,-0.0625,0.647174092
Q04941,PLP2,Proteolipid protein 2,19.2275,19.305,0.0775,0.646779899
Q9BQ70,TCF25,Transcription factor 25,18.9775,18.905,-0.0725,0.645316296
P51570,GALK1,Galactokinase,21.9525,21.9425,-0.01,0.644734494
Q12830,BPTF,Nucleosome-remodeling factor subunit BPTF,19.965,19.9275,-0.0375,0.642221073
Q9UNT1,RABL2B,Rab-like protein 2B,18.9175,18.895,-0.0225,0.641886102
Q99504,EYA3,Eyes absent homolog 3,17.22,17.155,-0.065,0.637096399
Q96P20,NLRP3,"NACHT, LRR and PYD domains-containing protein 3",18.835,18.8675,0.0325,0.634097042
Q12959,DLG1,Disks large homolog 1,19.4125,19.3775,-0.035,0.633354783
Q06587,RING1,E3 ubiquitin-protein ligase RING1,17.75,17.64,-0.11,0.62954011
P49840,GSK3A,Glycogen synthase kinase-3 alpha,18.6075,18.5425,-0.065,0.628804493
O75044,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,22.0175,21.9975,-0.02,0.628091515
P55061,TMBIM6,Bax inhibitor 1,20.46,20.3925,-0.0675,0.627560488
Q15022,SUZ12,Polycomb protein SUZ12,19.5325,19.47,-0.0625,0.623510757
Q5TBA9,FRY,Protein furry homolog,18.2725,18.2225,-0.05,0.618288205
Q9Y276,BCS1L,Mitochondrial chaperone BCS1,18.69,18.635,-0.055,0.616809994
P35625,TIMP3,Metalloproteinase inhibitor 3,17.8875,17.9825,0.095,0.612781275
O95376,ARIH2,E3 ubiquitin-protein ligase ARIH2,18.3275,18.27,-0.0575,0.610179968
Q8WVM7,STAG1,Cohesin subunit SA-1,20.315,20.285,-0.03,0.609382351
P27144,AK4,"Adenylate kinase 4, mitochondrial",21.4675,21.4975,0.03,0.606286491
O95544,NADK,NAD kinase,22.385,22.3325,-0.0525,0.600046644
P22830,FECH,"Ferrochelatase, mitochondrial",19.7825,19.7525,-0.03,0.598767285
P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,20.33,20.305,-0.025,0.597924791
P49720,PSMB3,Proteasome subunit beta type-3,23.0575,22.995,-0.0625,0.596443445
Q99720,SIGMAR1,Sigma non-opioid intracellular receptor 1,19.1725,19.0775,-0.095,0.593844825
Q9H2P0,ADNP,Activity-dependent neuroprotector homeobox protein,20.7625,20.6925,-0.07,0.593219418
Q99571,P2RX4,P2X purinoceptor 4,20.6625,20.6875,0.025,0.591362634
P49116,NR2C2,Nuclear receptor subfamily 2 group C member 2,18.565,18.55,-0.015,0.590801208
O15054,KDM6B,Lysine-specific demethylase 6B,20.465,20.5325,0.0675,0.588701566
P00738,HP,Haptoglobin,19.19,19.1425,-0.0475,0.588601894
Q9NQZ7,ENTPD7,Ectonucleoside triphosphate diphosphohydrolase 7,17.74,17.6925,-0.0475,0.588125994
P35241,RDX,Radixin,23.06,23.11,0.05,0.586660645
Q71U36,TUBA1A,Tubulin alpha-1A chain,20.87,20.825,-0.045,0.586569352
P02765,AHSG,Alpha-2-HS-glycoprotein,27.25,27.3325,0.0825,0.586551593
P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,21.0825,21.0525,-0.03,0.584812361
Q9UHQ9,CYB5R1,NADH-cytochrome b5 reductase 1,21.8575,21.89,0.0325,0.583976869
Q16831,UPP1,Uridine phosphorylase 1,22.84,22.8075,-0.0325,0.583976869
O14880,MGST3,Microsomal glutathione S-transferase 3,22.12,22.0875,-0.0325,0.583976869
Q9UNF1,MAGED2,Melanoma-associated antigen D2,19.52,19.58,0.06,0.58389122
Q99973,TEP1,Telomerase protein component 1,19.755,19.6925,-0.0625,0.57965105
Q07890,SOS2,Son of sevenless homolog 2,18.735,18.71,-0.025,0.579064512
Q13393,PLD1,Phospholipase D1,20.6475,20.62,-0.0275,0.578150765
P02649,APOE,Apolipoprotein E,21.02,20.86,-0.16,0.578047402
P35580,MYH10,Myosin-10,16.965,16.905,-0.06,0.576295114
Q8WU76,SCFD2,Sec1 family domain-containing protein 2,16.93,16.85,-0.08,0.573690089
Q9H0Q0,FAM49A,Protein FAM49A,19.79,19.825,0.035,0.572740179
Q92918,MAP4K1,Mitogen-activated protein kinase kinase kinase kinase 1,19.4225,19.385,-0.0375,0.571519948
P32019,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",18.775,18.7125,-0.0625,0.569961919
P04264,KRT1,"Keratin, type II cytoskeletal 1",24.455,24.3025,-0.1525,0.568799934
Q8WXH0,SYNE2,Nesprin-2,18.74,18.8175,0.0775,0.567812175
Q9H6Q4,NARFL,Cytosolic Fe-S cluster assembly factor NARFL,18.06,18.1175,0.0575,0.563911477
Q05315,CLC,Galectin-10,25.9175,26.0425,0.125,0.562487809
P10301,RRAS,Ras-related protein R-Ras,19.6,19.69,0.09,0.561341009
P07360,C8G,Complement component C8 gamma chain,19.13,19.0725,-0.0575,0.55920521
Q99880,HIST1H2BL,Histone H2B type 1-L,22.5525,22.645,0.0925,0.557157337
P02671,FGA,Fibrinogen alpha chain,24.255,24.015,-0.24,0.556799996
Q13432,UNC119,Protein unc-119 homolog A,18.7875,18.7025,-0.085,0.556646812
P25054,APC,Adenomatous polyposis coli protein,16.595,16.54,-0.055,0.555436527
Q8N2U9,PQLC1,PQ-loop repeat-containing protein 1,17.55,17.5175,-0.0325,0.55368927
P51689,ARSD,Arylsulfatase D,17.72,17.68,-0.04,0.553532403
Q8IVD9,NUDCD3,NudC domain-containing protein 3,19.075,19.2025,0.1275,0.552061641
Q9P275,USP36,Ubiquitin carboxyl-terminal hydrolase 36,18.7425,18.6825,-0.06,0.551907416
Q13363,CTBP1,C-terminal-binding protein 1,22.5,22.455,-0.045,0.550016109
Q08AF3,SLFN5,Schlafen family member 5,19.975,19.945,-0.03,0.548800055
P06132,UROD,Uroporphyrinogen decarboxylase,19.465,19.45,-0.015,0.547222032
Q9NRF9,POLE3,DNA polymerase epsilon subunit 3,19.0125,19.0675,0.055,0.546222404
O75828,CBR3,Carbonyl reductase [NADPH] 3,19.5625,19.525,-0.0375,0.545177889
P11182,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",21.26,20.9925,-0.2675,0.543087337
Q5T3J3,LRIF1,Ligand-dependent nuclear receptor-interacting factor 1,18.095,18.06,-0.035,0.53495942
Q08188,TGM3,Protein-glutamine gamma-glutamyltransferase E,20.275,20.3925,0.1175,0.5346431
Q9C0E8,LNP,Protein lunapark,20.8525,20.8125,-0.04,0.533433294
Q7Z6K5,ARPIN,Arpin,19.3,19.245,-0.055,0.533344548
O60942,RNGTT,mRNA-capping enzyme,18.2425,18.1775,-0.065,0.533277298
Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1,18.3925,18.3025,-0.09,0.532235913
Q8WVK2,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,18.97,18.89,-0.08,0.530228946
Q9Y6A4,CFAP20,Cilia- and flagella-associated protein 20,18.19,18.125,-0.065,0.529911825
Q9Y484,WDR45,WD repeat domain phosphoinositide-interacting protein 4,18.595,18.5725,-0.0225,0.529294655
Q9BXJ8,TMEM120A,Transmembrane protein 120A,17.84,17.75,-0.09,0.527503173
P14621,ACYP2,Acylphosphatase-2,17.7875,17.7525,-0.035,0.527196469
P07711,CTSL,Cathepsin L1,22.5975,22.785,0.1875,0.526936194
O14618,CCS,Copper chaperone for superoxide dismutase,19.0925,19.0675,-0.025,0.523981137
Q8N2G8,GHDC,GH3 domain-containing protein,20.22,20.1675,-0.0525,0.523770477
Q8N264,ARHGAP24,Rho GTPase-activating protein 24,17.99,17.9125,-0.0775,0.521939383
P01023,A2M,Alpha-2-macroglobulin,21.1775,21.0725,-0.105,0.521190053
P48454,PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,17.7975,17.7175,-0.08,0.519941333
P01024,C3,Complement C3,24.755,24.8925,0.1375,0.519918234
Q9Y2G3,ATP11B,Probable phospholipid-transporting ATPase IF,19.73,19.805,0.075,0.519800769
Q99572,P2RX7,P2X purinoceptor 7,20.07,20.085,0.015,0.519497962
P78537,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,19.58,19.4725,-0.1075,0.517668083
Q9NP80,PNPLA8,Calcium-independent phospholipase A2-gamma,18.285,18.2675,-0.0175,0.517631537
Q9BYD1,MRPL13,"39S ribosomal protein L13, mitochondrial",19.045,18.9875,-0.0575,0.517247824
Q13201,MMRN1,Multimerin-1,17.61,17.825,0.215,0.515565512
O75940,SMNDC1,Survival of motor neuron-related-splicing factor 30,19.0325,18.99,-0.0425,0.511434811
P31323,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,20.0575,20.03,-0.0275,0.509422258
P80404,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",17.1225,17.1825,0.06,0.509234777
Q9H6W3,NO66,Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66,18.385,18.3225,-0.0625,0.50804657
Q9BRD0,BUD13,BUD13 homolog,18.4875,18.3975,-0.09,0.507488168
Q16854,DGUOK,"Deoxyguanosine kinase, mitochondrial",18.745,18.71,-0.035,0.507465048
Q8N8A6,DDX51,ATP-dependent RNA helicase DDX51,16.46,16.3625,-0.0975,0.507401005
Q9NXE8,CWC25,Pre-mRNA-splicing factor CWC25 homolog,17.7025,17.6425,-0.06,0.507204718
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit,23.67,23.63,-0.04,0.502281168
Q8TB52,FBXO30,F-box only protein 30,18.9,18.9375,0.0375,0.50157482
P62256,UBE2H,Ubiquitin-conjugating enzyme E2 H,20.5975,20.555,-0.0425,0.501204751
Q9UI15,TAGLN3,Transgelin-3,19.625,19.535,-0.09,0.501019833
Q7Z7A1,CNTRL,Centriolin,19.5025,19.5625,0.06,0.500960935
P10599,TXN,Thioredoxin,25.6575,25.735,0.0775,0.500131889
Q99436,PSMB7,Proteasome subunit beta type-7,21.935,21.9,-0.035,0.499799169
Q8N4S9,MARVELD2,MARVEL domain-containing protein 2,18.1875,18.135,-0.0525,0.498398747
Q53FT3,C11orf73,Protein Hikeshi,17.8775,17.9425,0.065,0.49826972
P30443,HLA-A,"HLA class I histocompatibility antigen, A-1 alpha chain",20.8625,20.765,-0.0975,0.497861176
O14524,NEMP1,Nuclear envelope integral membrane protein 1,16.625,16.5375,-0.0875,0.497524594
Q14872,MTF1,Metal regulatory transcription factor 1,19.6625,19.6925,0.03,0.497208006
Q07352,ZFP36L1,"Zinc finger protein 36, C3H1 type-like 1",17.9025,17.7925,-0.11,0.492224604
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13,19.83,19.7125,-0.1175,0.486773489
