SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPS,LPS_Log2FC,pvalue_ttest1
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1,20.3075,20.4025,0.095,0.060341287
P32189,GK,Glycerol kinase,22.285,22.3725,0.0875,0.062168377
O14733,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,17.845,17.9025,0.0575,0.122017726
O00519,FAAH,Fatty-acid amide hydrolase 1,18.2525,18.4575,0.205,0.049395547
P08476,INHBA,Inhibin beta A chain,19.66,20.5175,0.8575,0.001886754
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,25.1325,25.25,0.1175,0.018138581
Q9Y4A5,TRRAP,Transformation/transcription domain-associated protein,21.3175,21.4475,0.13,0.111481121
Q3ZCQ8,TIMM50,Mitochondrial import inner membrane translocase subunit TIM50,21.5825,21.6725,0.09,0.044937516
O95674,CDS2,Phosphatidate cytidylyltransferase 2,20.5325,20.6125,0.08,0.02054421
O60884,DNAJA2,DnaJ homolog subfamily A member 2,23.03,23.14,0.11,0.059662224
Q8TB52,FBXO30,F-box only protein 30,18.9,19.01,0.11,0.131434315
Q9Y4K4,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,17.7175,17.8925,0.175,0.138480005
Q9Y2W1,THRAP3,Thyroid hormone receptor-associated protein 3,23.46,23.5575,0.0975,0.10862358
P80297,MT1X,Metallothionein-1X,22.2175,21.2775,-0.94,0.002028201
P23368,ME2,"NAD-dependent malic enzyme, mitochondrial",23.4125,23.5125,0.1,0.011141777
P04732,MT1E,Metallothionein-1E,19.365,18.67,-0.695,0.022867101
O14925,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,20.1975,20.33,0.1325,0.082430222
Q9BVC4,MLST8,Target of rapamycin complex subunit LST8,17.7075,17.85,0.1425,0.129803335
O43278,SPINT1,Kunitz-type protease inhibitor 1,20.0275,19.68,-0.3475,0.010331622
Q9Y4G2,PLEKHM1,Pleckstrin homology domain-containing family M member 1,18.81,18.955,0.145,0.220394739
Q04941,PLP2,Proteolipid protein 2,19.2275,20.085,0.8575,0.062662825
Q14156,EFR3A,Protein EFR3 homolog A,20.4275,20.545,0.1175,0.051931101
Q14314,FGL2,Fibroleukin,19.34,18.4925,-0.8475,0.000829375
P18510,IL1RN,Interleukin-1 receptor antagonist protein,24.715,24.4425,-0.2725,0.12178982
Q02338,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",21.6625,21.7675,0.105,0.126986704
Q9Y2U5,MAP3K2,Mitogen-activated protein kinase kinase kinase 2,18.8925,18.795,-0.0975,0.026703543
Q8TBC4,UBA3,NEDD8-activating enzyme E1 catalytic subunit,20.595,20.73,0.135,0.12479642
O95169,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",19.92,20.0275,0.1075,0.132275617
Q96QR8,PURB,Transcriptional activator protein Pur-beta,20.79,20.9025,0.1125,0.034996208
O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,19.735,19.8575,0.1225,0.03135726
Q9BRQ8,AIFM2,Apoptosis-inducing factor 2,17.9525,18.0675,0.115,0.050118956
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,26.495,26.585,0.09,0.134292194
P49715,CEBPA,CCAAT/enhancer-binding protein alpha,18.4575,18.1675,-0.29,0.019699184
O75367,H2AFY,Core histone macro-H2A.1,25.945,26.0225,0.0775,0.082177624
P52788,SMS,Spermine synthase,22.2375,22.3925,0.155,0.15189539
O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",22.47,22.55,0.08,0.082273323
Q9Y4Y9,LSM5,U6 snRNA-associated Sm-like protein LSm5,18.31,18.9125,0.6025,0.125501111
P17026,ZNF22,Zinc finger protein 22,20.8275,20.975,0.1475,0.070630492
Q96EY7,PTCD3,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",20.895,20.9875,0.0925,0.15681944
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,18.7,18.78,0.08,0.051749295
P20339,RAB5A,Ras-related protein Rab-5A,20.4475,20.5275,0.08,0.067885744
Q7Z7H8,MRPL10,"39S ribosomal protein L10, mitochondrial",19.2475,19.33,0.0825,0.128980283
Q8N8A6,DDX51,ATP-dependent RNA helicase DDX51,16.46,16.6075,0.1475,0.120698887
O43187,IRAK2,Interleukin-1 receptor-associated kinase-like 2,20.355,20.88,0.525,0.008323058
P31146,CORO1A,Coronin-1A,27.7825,27.8425,0.06,0.170443649
Q92963,RIT1,GTP-binding protein Rit1,21.0125,21.28,0.2675,0.178476725
Q9NUU6,FAM105A,Inactive ubiquitin thioesterase FAM105A,21.1425,21.26,0.1175,0.072109491
Q9Y512,SAMM50,Sorting and assembly machinery component 50 homolog,21.355,21.4675,0.1125,0.146043955
P50991,CCT4,T-complex protein 1 subunit delta,24.9225,24.985,0.0625,0.145680572
Q12800,TFCP2,Alpha-globin transcription factor CP2,19.6425,19.7625,0.12,0.085437436
Q7Z422,SZRD1,SUZ domain-containing protein 1,18.5725,18.6375,0.065,0.060930743
P55809,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",21.4125,21.5175,0.105,0.262617117
Q7LFL8,CXXC5,CXXC-type zinc finger protein 5,18.545,18.3475,-0.1975,0.010158738
Q9Y3S2,ZNF330,Zinc finger protein 330,20.01,20.1,0.09,0.058945083
P50453,SERPINB9,Serpin B9,23.8975,24.1425,0.245,0.096079551
Q01432,AMPD3,AMP deaminase 3,22.035,22.2475,0.2125,0.156467422
Q9P0M9,MRPL27,"39S ribosomal protein L27, mitochondrial",18.7025,18.86,0.1575,0.144472602
Q8NFW8,CMAS,N-acylneuraminate cytidylyltransferase,21.065,21.14,0.075,0.171631537
Q9BRK5,SDF4,45 kDa calcium-binding protein,17.9875,17.7875,-0.2,0.176070669
Q53EP0,FNDC3B,Fibronectin type III domain-containing protein 3B,20.9975,21.165,0.1675,0.00204394
Q9ULX6,AKAP8L,A-kinase anchor protein 8-like,20.515,20.6325,0.1175,0.128268936
Q8IW45,CARKD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,18.2925,18.4125,0.12,0.076970346
Q9UBU8,MORF4L1,Mortality factor 4-like protein 1,20.1825,20.36,0.1775,0.150243476
P35354,PTGS2,Prostaglandin G/H synthase 2,22.785,23.7625,0.9775,0.074173451
Q8TBA6,GOLGA5,Golgin subfamily A member 5,20.8075,20.875,0.0675,0.117039036
Q9Y265,RUVBL1,RuvB-like 1,23.5025,23.59,0.0875,0.091476079
O95453,PARN,Poly(A)-specific ribonuclease PARN,19.7,19.7775,0.0775,0.240745878
P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",24.3975,24.4675,0.07,0.166733336
Q6UW68,TMEM205,Transmembrane protein 205,21.09,21.245,0.155,0.01247137
P84095,RHOG,Rho-related GTP-binding protein RhoG,23.2125,23.305,0.0925,0.137249145
P41567,EIF1,Eukaryotic translation initiation factor 1,23.18,23.3125,0.1325,0.035668693
P36871,PGM1,Phosphoglucomutase-1,24.3475,24.405,0.0575,0.294255106
Q9Y262,EIF3L,Eukaryotic translation initiation factor 3 subunit L,24.065,24.1425,0.0775,0.036037073
Q9NP80,PNPLA8,Calcium-independent phospholipase A2-gamma,18.285,18.42,0.135,0.092954837
O43169,CYB5B,Cytochrome b5 type B,19.6525,19.7225,0.07,0.081431551
Q9BRP8,WIBG,Partner of Y14 and mago,19.0975,19.205,0.1075,0.153859422
Q96D96,HVCN1,Voltage-gated hydrogen channel 1,20.245,20.3275,0.0825,0.165201364
P23458,JAK1,Tyrosine-protein kinase JAK1,20.49,20.64,0.15,0.072790205
Q9BZD2,SLC29A3,Equilibrative nucleoside transporter 3,18.6075,18.195,-0.4125,0.020228992
Q9H0E3,SAP130,Histone deacetylase complex subunit SAP130,18.4525,18.5925,0.14,0.222311958
Q9H307,PNN,Pinin,22.34,22.42,0.08,0.051749295
Q9H173,SIL1,Nucleotide exchange factor SIL1,18.035,17.79,-0.245,0.033348213
Q96B97,SH3KBP1,SH3 domain-containing kinase-binding protein 1,23.5675,23.6525,0.085,0.151729999
P00403,MT-CO2,Cytochrome c oxidase subunit 2,22.8225,22.9575,0.135,0.189453398
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,27.1275,27.225,0.0975,0.212912344
Q9Y2R5,MRPS17,"28S ribosomal protein S17, mitochondrial",17.7525,18.045,0.2925,0.065878264
Q8WZ73,RFFL,E3 ubiquitin-protein ligase rififylin,19.17,19.3475,0.1775,0.161971535
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A,20.8775,20.9825,0.105,0.035352847
P55060,CSE1L,Exportin-2,24.16,24.2375,0.0775,0.27430459
P20333,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,18.7575,19.1425,0.385,0.183830364
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic",20.9225,21.0025,0.08,0.278178253
Q9UNP9,PPIE,Peptidyl-prolyl cis-trans isomerase E,19.325,19.495,0.17,0.090334958
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial",26.3875,26.7975,0.41,0.006118246
P51692,STAT5B,Signal transducer and activator of transcription 5B,20.45,20.56,0.11,0.086740729
Q5NDL2,EOGT,EGF domain-specific O-linked N-acetylglucosamine transferase,18.4975,18.6675,0.17,0.224284611
Q8NC56,LEMD2,LEM domain-containing protein 2,20.635,20.74,0.105,0.080048175
P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,25.0825,25.15,0.0675,0.145267056
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,21.17,21.29,0.12,0.277392915
P55040,GEM,GTP-binding protein GEM,18.3175,18.83,0.5125,0.007716458
Q9BZF1,OSBPL8,Oxysterol-binding protein-related protein 8,23.07,23.2,0.13,0.153689703
P35869,AHR,Aryl hydrocarbon receptor,19.7075,19.925,0.2175,0.141371826
Q5SW96,LDLRAP1,Low density lipoprotein receptor adapter protein 1,18.1075,17.925,-0.1825,0.017110966
Q9Y676,MRPS18B,"28S ribosomal protein S18b, mitochondrial",17.915,18.0125,0.0975,0.090997216
Q9NXX6,NSMCE4A,Non-structural maintenance of chromosomes element 4 homolog A,18.505,18.605,0.1,0.119952943
P09326,CD48,CD48 antigen,21.6325,21.75,0.1175,0.090497174
P62995,TRA2B,Transformer-2 protein homolog beta,22.925,22.98,0.055,0.290054352
Q8NB37,PDDC1,Parkinson disease 7 domain-containing protein 1,19.9475,20.1225,0.175,0.057106307
P00813,ADA,Adenosine deaminase,21.51,21.7175,0.2075,0.092374201
P16104,H2AFX,Histone H2AX,22.1025,22.1825,0.08,0.140729804
P20036,HLA-DPA1,"HLA class II histocompatibility antigen, DP alpha 1 chain",20.0325,20.205,0.1725,0.024684695
P09132,SRP19,Signal recognition particle 19 kDa protein,19.7275,19.8175,0.09,0.265726247
P13987,CD59,CD59 glycoprotein,19.75,20.035,0.285,0.260735942
Q15018,FAM175B,BRISC complex subunit Abro1,21.035,21.1525,0.1175,0.147248234
Q969X0,RILPL2,RILP-like protein 2,20.035,20.185,0.15,0.226655969
P80098,CCL7,C-C motif chemokine 7,17.4975,18.3,0.8025,0.095982066
Q86YV9,HPS6,Hermansky-Pudlak syndrome 6 protein,17.9625,18.0725,0.11,0.091721113
O95905,ECD,Protein ecdysoneless homolog,19.645,19.75,0.105,0.166922196
O15541,RNF113A,RING finger protein 113A,19.3575,19.42,0.0625,0.260372557
O75449,KATNA1,Katanin p60 ATPase-containing subunit A1,19.245,19.3225,0.0775,0.332663105
P02787,TF,Serotransferrin,19.005,19.26,0.255,0.126537476
Q9P253,VPS18,Vacuolar protein sorting-associated protein 18 homolog,21.64,21.74,0.1,0.011141777
Q9Y6B6,SAR1B,GTP-binding protein SAR1b,20.44,20.525,0.085,0.052424671
Q13428,TCOF1,Treacle protein,22.6025,22.7575,0.155,0.080909296
P54253,ATXN1,Ataxin-1,18.22,18.33,0.11,0.191403836
Q9H0H0,INTS2,Integrator complex subunit 2,19.48,19.565,0.085,0.208070596
P50995,ANXA11,Annexin A11,24.605,24.4725,-0.1325,0.169331333
P78536,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,21.06,21.165,0.105,0.008656534
O95544,NADK,NAD kinase,22.385,22.5825,0.1975,0.251605135
Q9NNX6,CD209,CD209 antigen,21.915,21.615,-0.3,0.327327355
O75487,GPC4,Glypican-4,23.5575,23.12,-0.4375,0.022905521
Q9BUB7,TMEM70,"Transmembrane protein 70, mitochondrial",19.01,19.31,0.3,0.1315465
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,17.8125,17.9425,0.13,0.03483095
P35659,DEK,Protein DEK,24.1025,24.19,0.0875,0.220904023
O75607,NPM3,Nucleoplasmin-3,16.855,16.94,0.085,0.061006907
Q9Y2X0,MED16,Mediator of RNA polymerase II transcription subunit 16,19.1275,19.26,0.1325,0.203249995
P09012,SNRPA,U1 small nuclear ribonucleoprotein A,23.595,23.685,0.09,0.142093936
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,20.0925,20.215,0.1225,0.064095074
P15408,FOSL2,Fos-related antigen 2,19.48,19.71,0.23,0.123082693
Q9H4A3,WNK1,Serine/threonine-protein kinase WNK1,22.1075,22.1825,0.075,0.203540547
Q8WXF1,PSPC1,Paraspeckle component 1,23.175,23.2475,0.0725,0.202550113
P02533,KRT14,"Keratin, type I cytoskeletal 14",20.0475,20.345,0.2975,0.143551338
O60486,PLXNC1,Plexin-C1,20.3025,20.395,0.0925,0.061695295
Q8IZ07,ANKRD13A,Ankyrin repeat domain-containing protein 13A,20.3075,20.4525,0.145,0.152416731
O75152,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,21.545,21.645,0.1,0.076544649
Q6NVY1,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",21.9625,22.03,0.0675,0.175072691
Q9NZT2,OGFR,Opioid growth factor receptor,21.9575,22.0275,0.07,0.328589727
Q7L2J0,MEPCE,7SK snRNA methylphosphate capping enzyme,18.475,18.6175,0.1425,0.144512255
P46952,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase",19.5125,19.665,0.1525,0.261100614
P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A,26.3025,26.5175,0.215,0.133265973
O60563,CCNT1,Cyclin-T1,18.465,18.5425,0.0775,0.259576997
Q5T4S7,UBR4,E3 ubiquitin-protein ligase UBR4,23.93,24,0.07,0.28785585
O43399,TPD52L2,Tumor protein D54,23.3875,23.4475,0.06,0.236153677
O95716,RAB3D,Ras-related protein Rab-3D,23.5175,23.605,0.0875,0.17671458
Q06587,RING1,E3 ubiquitin-protein ligase RING1,17.75,17.92,0.17,0.431580257
Q8NCG7,DAGLB,Sn1-specific diacylglycerol lipase beta,18.8625,18.9425,0.08,0.221290473
P10301,RRAS,Ras-related protein R-Ras,19.6,19.835,0.235,0.151530395
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,21.9025,22.1,0.1975,0.043752064
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,25.685,25.775,0.09,0.129762321
Q9UH62,ARMCX3,Armadillo repeat-containing X-linked protein 3,19.9325,20.09,0.1575,0.043130398
Q92574,TSC1,Hamartin,20.7125,20.8475,0.135,0.173732797
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein,21.685,21.7625,0.0775,0.329643672
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,26.615,26.675,0.06,0.177238301
Q9Y2H0,DLGAP4,Disks large-associated protein 4,21.54,21.29,-0.25,0.063014857
Q9NQC3,RTN4,Reticulon-4,23.245,23.33,0.085,0.052424671
Q13643,FHL3,Four and a half LIM domains protein 3,20.12,20.2125,0.0925,0.153799277
Q9Y230,RUVBL2,RuvB-like 2,23.2,23.2725,0.0725,0.201131765
P08559,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",22.945,23.015,0.07,0.20962351
P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",21.855,21.955,0.1,0.305554034
P43490,NAMPT,Nicotinamide phosphoribosyltransferase,25.695,26.1625,0.4675,0.136142706
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",23.5125,23.5925,0.08,0.220198342
Q96P48,ARAP1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",23.655,23.705,0.05,0.115203524
Q8N1F7,NUP93,Nuclear pore complex protein Nup93,23.585,23.6475,0.0625,0.124725084
Q16181,06-Sep,Septin-7,24.205,24.2525,0.0475,0.314897181
P07437,TUBB,Tubulin beta chain,27.24,27.3275,0.0875,0.161593686
Q96AG4,LRRC59,Leucine-rich repeat-containing protein 59,23.1475,23.27,0.1225,0.119193278
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",23.72,23.835,0.115,0.071965067
Q9P258,RCC2,Protein RCC2,24.5075,24.565,0.0575,0.177450084
P00491,PNP,Purine nucleoside phosphorylase,24.815,24.915,0.1,0.123715067
Q96EP5,DAZAP1,DAZ-associated protein 1,21.755,21.835,0.08,0.29931441
Q96HY6,DDRGK1,DDRGK domain-containing protein 1,20.2975,20.42,0.1225,0.328532437
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,23.445,23.5175,0.0725,0.135074622
Q9H0Q0,FAM49A,Protein FAM49A,19.79,19.93,0.14,0.120030056
O60927,PPP1R11,Protein phosphatase 1 regulatory subunit 11,18.9575,19.2675,0.31,0.154510367
P08631,HCK,Tyrosine-protein kinase HCK,21.51,21.78,0.27,0.069701374
Q5QJE6,DNTTIP2,Deoxynucleotidyltransferase terminal-interacting protein 2,21.8025,21.9525,0.15,0.095708925
Q14872,MTF1,Metal regulatory transcription factor 1,19.6625,19.8425,0.18,0.107846233
Q53H82,LACTB2,Beta-lactamase-like protein 2,20.45,20.4125,-0.0375,0.261745349
P22897,MRC1,Macrophage mannose receptor 1,24.52,24.175,-0.345,0.206973583
Q9UDX5,MTFP1,Mitochondrial fission process protein 1,16.9775,17.105,0.1275,0.177377874
Q8NCN5,PDPR,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",20.765,20.875,0.11,0.170311229
P41240,CSK,Tyrosine-protein kinase CSK,23.495,23.5625,0.0675,0.125308532
Q00537,CDK17,Cyclin-dependent kinase 17,20.235,20.3325,0.0975,0.037149698
Q01081,U2AF1,Splicing factor U2AF 35 kDa subunit,21.51,21.5975,0.0875,0.076940814
Q8WVM7,STAG1,Cohesin subunit SA-1,20.315,20.515,0.2,0.17138061
Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,18.4025,18.785,0.3825,0.15123899
Q9H4A6,GOLPH3,Golgi phosphoprotein 3,21.6675,21.735,0.0675,0.104339479
Q9NVH1,DNAJC11,DnaJ homolog subfamily C member 11,20.665,20.77,0.105,0.135324862
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",19.1975,19.34,0.1425,0.210571766
Q96Q05,TRAPPC9,Trafficking protein particle complex subunit 9,19.43,19.5225,0.0925,0.141456831
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9,21.7375,21.795,0.0575,0.358378822
Q7L591,DOK3,Docking protein 3,20.9375,21.04,0.1025,0.168747087
Q16512,PKN1,Serine/threonine-protein kinase N1,23.06,23.1175,0.0575,0.246856264
Q99755,PIP5K1A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,17.8175,17.905,0.0875,0.007883635
Q8N3F8,MICALL1,MICAL-like protein 1,19.315,19.105,-0.21,0.187766597
Q9Y394,DHRS7,Dehydrogenase/reductase SDR family member 7,22.7125,22.815,0.1025,0.135694257
Q92522,H1FX,Histone H1x,24.61,24.6975,0.0875,0.310747797
O14526,FCHO1,F-BAR domain only protein 1,19.41,19.5275,0.1175,0.244510309
Q8NHJ6,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,20.4,20.22,-0.18,0.21274048
P36915,GNL1,Guanine nucleotide-binding protein-like 1,21.02,21.1175,0.0975,0.194203517
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase,20.64,20.7475,0.1075,0.185964962
Q9P0U3,SENP1,Sentrin-specific protease 1,18.6025,18.7375,0.135,0.092954837
Q96KP6,TNIP3,TNFAIP3-interacting protein 3,19.72,20.1875,0.4675,0.112366412
P07339,CTSD,Cathepsin D,24.26,24.105,-0.155,0.189864049
P16401,HIST1H1B,Histone H1.5,28.305,28.4325,0.1275,0.182789629
Q9HCD5,NCOA5,Nuclear receptor coactivator 5,20.6775,20.7975,0.12,0.161161847
P18669,PGAM1,Phosphoglycerate mutase 1,26.5125,26.565,0.0525,0.277416992
Q9NX08,COMMD8,COMM domain-containing protein 8,20.2525,20.3125,0.06,0.334339092
Q15036,SNX17,Sorting nexin-17,20.405,20.47,0.065,0.429496746
P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,25.0075,24.8675,-0.14,0.046263342
Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1,22.1975,22.27,0.0725,0.258880661
P33316,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",19.355,19.4975,0.1425,0.117818951
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12,20.6475,20.7025,0.055,0.404235269
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,21.4825,21.565,0.0825,0.196811106
Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,21.8725,21.965,0.0925,0.117738346
P35998,PSMC2,26S protease regulatory subunit 7,23.8825,23.925,0.0425,0.302819092
Q03169,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,22.175,22.375,0.2,0.022950586
O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,20.99,21.1025,0.1125,0.232643225
Q99567,NUP88,Nuclear pore complex protein Nup88,21.865,21.935,0.07,0.154618523
Q86U86,PBRM1,Protein polybromo-1,21.6125,21.73,0.1175,0.050436315
P25786,PSMA1,Proteasome subunit alpha type-1,24.025,24.095,0.07,0.123390089
O95721,SNAP29,Synaptosomal-associated protein 29,20.14,20.21,0.07,0.091721113
P55957,BID,BH3-interacting domain death agonist,21.135,21.28,0.145,0.04312954
Q96EW2,HSPBAP1,HSPB1-associated protein 1,17.735,17.8275,0.0925,0.104221948
O75964,ATP5L,"ATP synthase subunit g, mitochondrial",20.1575,20.2675,0.11,0.007282646
O95251,KAT7,Histone acetyltransferase KAT7,19.43,19.495,0.065,0.115452101
Q9C002,NMES1,Normal mucosa of esophagus-specific gene 1 protein,22.535,22.81,0.275,0.004896379
Q9Y2L9,LRCH1,Leucine-rich repeat and calponin homology domain-containing protein 1,19.195,19.28,0.085,0.005652993
O60502,MGEA5,Protein O-GlcNAcase,21.7125,21.785,0.0725,0.258880661
Q8TDW0,LRRC8C,Volume-regulated anion channel subunit LRRC8C,19.67,19.9475,0.2775,0.17355327
Q6IAA8,LAMTOR1,Ragulator complex protein LAMTOR1,21.6675,21.78,0.1125,0.063384033
P60953,CDC42,Cell division control protein 42 homolog,24.4425,24.47,0.0275,0.273498814
P09972,ALDOC,Fructose-bisphosphate aldolase C,19.9325,20.0325,0.1,0.060080769
P31943,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,25.615,25.6675,0.0525,0.349723992
P26640,VARS,Valine--tRNA ligase,23.5075,23.58,0.0725,0.145324849
Q96BR5,COA7,Cytochrome c oxidase assembly factor 7,19.81,19.8625,0.0525,0.050173768
Q96I25,RBM17,Splicing factor 45,22.085,22.165,0.08,0.102557827
O75746,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,20.6125,20.685,0.0725,0.278919803
Q13620,CUL4B,Cullin-4B,22.44,22.51,0.07,0.109792028
Q8TCS8,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",21.1825,21.34,0.1575,0.302999424
Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,22.9025,23.005,0.1025,0.324672387
O60508,CDC40,Pre-mRNA-processing factor 17,20.2825,20.3425,0.06,0.149195183
Q9UKD1,GMEB2,Glucocorticoid modulatory element-binding protein 2,19.175,19.2275,0.0525,0.338856784
Q96RR4,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,17.9775,18.0325,0.055,0.474205771
O43852,CALU,Calumenin,22.43,22.3275,-0.1025,0.017220927
